nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate
12,0.28,0.6,FALSE,1,0,20,5,1,19,blueBalloon.png,32,,,,004,2020-09-28_19h58.41.684,bart,3.1.3,60
21,0.415,1.05,FALSE,1,0,20,9,1,19,blueBalloon.png,56,,,,004,2020-09-28_19h58.41.684,bart,3.1.3,60
15,0.31,0,TRUE,1,0,20,2,1,19,blueBalloon.png,14,,,,004,2020-09-28_19h58.41.684,bart,3.1.3,60
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,,,,004,2020-09-28_19h58.41.684,bart,3.1.3,60
