nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate
22,0.43,1.1,FALSE,1,0,20,5,1,19,blueBalloon.png,32,1,m,1,004,2020-09-14_16h12.41.871,bart,3.1.3,60
57,0.94,0,TRUE,1,0,20,9,1,19,blueBalloon.png,56,1,m,1,004,2020-09-14_16h12.41.871,bart,3.1.3,60
1,0.115,0.05,FALSE,1,0,20,2,1,19,blueBalloon.png,14,1,m,1,004,2020-09-14_16h12.41.871,bart,3.1.3,60
0,0.1,0,FALSE,1,0,20,0,1,19,blueBalloon.png,2,1,m,1,004,2020-09-14_16h12.41.871,bart,3.1.3,60
