nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate
33,0.58,0,TRUE,1,0,20,5,1,19,blueBalloon.png,32,Suraj,M,25,004,2020-08-24_16h27.49.534,bart,3.1.3,60
26,0.49,1.3,FALSE,1,0,20,9,1,19,blueBalloon.png,56,Suraj,M,25,004,2020-08-24_16h27.49.534,bart,3.1.3,60
15,0.31,0,TRUE,1,0,20,2,1,19,blueBalloon.png,14,Suraj,M,25,004,2020-08-24_16h27.49.534,bart,3.1.3,60
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,Suraj,M,25,004,2020-08-24_16h27.49.534,bart,3.1.3,60
