nPumps, size, earnings, popped, doneKey.keys, doneKey.rt, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, trials.ran, trials.order, imageFile, maxPumps, participant, gender (m/f), age, session, date, expName, psychopyVersion, frameRate
33, 0.58, 0, true, undefined, undefined, 1, 0, 20, 5, 1, 19, blueBalloon.png, 32, 1, f, 20, 004, 2018-12-17_19h57.48.872, bart, 3.0.0b11, 60
31, 0.565, 1.55, false, undefined, undefined, 1, 0, 20, 9, 1, 19, blueBalloon.png, 56, 1, f, 20, 004, 2018-12-17_19h57.48.872, bart, 3.0.0b11, 60
15, 0.31, 0, true, undefined, undefined, 1, 0, 20, 2, 1, 19, blueBalloon.png, 14, 1, f, 20, 004, 2018-12-17_19h57.48.872, bart, 3.0.0b11, 60
3, 0.13, 0, true, undefined, undefined, 1, 0, 20, 0, 1, 19, blueBalloon.png, 2, 1, f, 20, 004, 2018-12-17_19h57.48.872, bart, 3.0.0b11, 60
40, 0.7, 2, false, undefined, undefined, 1, 0, 20, 15, 1, 19, blueBalloon.png, 92, 1, f, 20, 004, 2018-12-17_19h57.48.872, bart, 3.0.0b11, 60
45, 0.7749999999999999, 2.25, false, undefined, undefined, 1, 0, 20, 10, 1, 19, blueBalloon.png, 62, 1, f, 20, 004, 2018-12-17_19h57.48.872, bart, 3.0.0b11, 60
40, 0.7, 2, false, undefined, undefined, 1, 0, 20, 7, 1, 19, blueBalloon.png, 44, 1, f, 20, 004, 2018-12-17_19h57.48.872, bart, 3.0.0b11, 60
54, 0.9099999999999999, 2.7, false, undefined, undefined, 1, 0, 20, 13, 1, 19, blueBalloon.png, 80, 1, f, 20, 004, 2018-12-17_19h57.48.872, bart, 3.0.0b11, 60
62, 1.03, 3.1, false, undefined, undefined, 1, 0, 20, 11, 1, 19, blueBalloon.png, 68, 1, f, 20, 004, 2018-12-17_19h57.48.872, bart, 3.0.0b11, 60
67, 1.105, 3.35, false, undefined, undefined, 1, 0, 20, 17, 1, 19, blueBalloon.png, 104, 1, f, 20, 004, 2018-12-17_19h57.48.872, bart, 3.0.0b11, 60
9, 0.22, 0, true, undefined, undefined, 1, 0, 20, 1, 1, 19, blueBalloon.png, 8, 1, f, 20, 004, 2018-12-17_19h57.48.872, bart, 3.0.0b11, 60
39, 0.6699999999999999, 0, true, undefined, undefined, 1, 0, 20, 6, 1, 19, blueBalloon.png, 38, 1, f, 20, 004, 2018-12-17_19h57.48.872, bart, 3.0.0b11, 60
27, 0.49, 0, true, undefined, undefined, 1, 0, 20, 4, 1, 19, blueBalloon.png, 26, 1, f, 20, 004, 2018-12-17_19h57.48.872, bart, 3.0.0b11, 60
57, 0.955, 2.85, false, undefined, undefined, 1, 0, 20, 19, 1, 19, blueBalloon.png, 116, 1, f, 20, 004, 2018-12-17_19h57.48.872, bart, 3.0.0b11, 60
61, 1.015, 3.0500000000000003, false, undefined, undefined, 1, 0, 20, 18, 1, 19, blueBalloon.png, 110, 1, f, 20, 004, 2018-12-17_19h57.48.872, bart, 3.0.0b11, 60
69, 1.135, 3.45, false, undefined, undefined, 1, 0, 20, 16, 1, 19, blueBalloon.png, 98, 1, f, 20, 004, 2018-12-17_19h57.48.872, bart, 3.0.0b11, 60
45, 0.7749999999999999, 2.25, false, undefined, undefined, 1, 0, 20, 8, 1, 19, blueBalloon.png, 50, 1, f, 20, 004, 2018-12-17_19h57.48.872, bart, 3.0.0b11, 60
72, 1.1800000000000002, 3.6, false, undefined, undefined, 1, 0, 20, 12, 1, 19, blueBalloon.png, 74, 1, f, 20, 004, 2018-12-17_19h57.48.872, bart, 3.0.0b11, 60
21, 0.4, 0, true, undefined, undefined, 1, 0, 20, 3, 1, 19, blueBalloon.png, 20, 1, f, 20, 004, 2018-12-17_19h57.48.872, bart, 3.0.0b11, 60
27, 0.505, 1.35, false, undefined, undefined, 1, 0, 20, 14, 1, 19, blueBalloon.png, 86, 1, f, 20, 004, 2018-12-17_19h57.48.872, bart, 3.0.0b11, 60
