nPumps,size,earnings,popped,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate,doneKey.keys,doneKey.rt
33,0.58,0,TRUE,,,,004,2019-09-14_21h48.26.969,bart,3.1.3,60,,
57,0.94,0,TRUE,,,,004,2019-09-14_21h48.26.969,bart,3.1.3,60,,
3,0.145,0.15,FALSE,,,,004,2019-09-14_21h48.26.969,bart,3.1.3,60,,
3,0.13,0,TRUE,,,,004,2019-09-14_21h48.26.969,bart,3.1.3,60,,
38,0.67,1.9,FALSE,,,,004,2019-09-14_21h48.26.969,bart,3.1.3,60,,
29,0.535,1.45,FALSE,,,,004,2019-09-14_21h48.26.969,bart,3.1.3,60,,
32,0.58,1.6,FALSE,,,,004,2019-09-14_21h48.26.969,bart,3.1.3,60,,
20,0.4,1,FALSE,,,,004,2019-09-14_21h48.26.969,bart,3.1.3,60,,
39,0.685,1.95,FALSE,,,,004,2019-09-14_21h48.26.969,bart,3.1.3,60,,
38,0.67,1.9,FALSE,,,,004,2019-09-14_21h48.26.969,bart,3.1.3,60,,
9,0.22,0,TRUE,,,,004,2019-09-14_21h48.26.969,bart,3.1.3,60,,
1,0.115,0.05,FALSE,,,,004,2019-09-14_21h48.26.969,bart,3.1.3,60,,
27,0.49,0,TRUE,,,,004,2019-09-14_21h48.26.969,bart,3.1.3,60,,
25,0.475,1.25,FALSE,,,,004,2019-09-14_21h48.26.969,bart,3.1.3,60,,
28,0.52,1.4,FALSE,,,,004,2019-09-14_21h48.26.969,bart,3.1.3,60,,
27,0.505,1.35,FALSE,,,,004,2019-09-14_21h48.26.969,bart,3.1.3,60,,
13,0.295,0.65,FALSE,,,,004,2019-09-14_21h48.26.969,bart,3.1.3,60,,
29,0.535,1.45,FALSE,,,,004,2019-09-14_21h48.26.969,bart,3.1.3,60,,
21,0.4,0,TRUE,,,,004,2019-09-14_21h48.26.969,bart,3.1.3,60,,
32,0.58,1.6,FALSE,,,,004,2019-09-14_21h48.26.969,bart,3.1.3,60,,
,,,,,,,004,2019-09-14_21h48.26.969,bart,3.1.3,60,space,0.015999794
