nPumps,size,earnings,popped,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate,doneKey.keys,doneKey.rt
33,0.58,0,TRUE,,f,29,004,2019-09-21_20h08.41.816,bart,3.1.3,60,,
0,0.1,0,FALSE,,f,29,004,2019-09-21_20h08.41.816,bart,3.1.3,60,,
15,0.31,0,TRUE,,f,29,004,2019-09-21_20h08.41.816,bart,3.1.3,60,,
3,0.13,0,TRUE,,f,29,004,2019-09-21_20h08.41.816,bart,3.1.3,60,,
3,0.145,0.15,FALSE,,f,29,004,2019-09-21_20h08.41.816,bart,3.1.3,60,,
9,0.235,0.45,FALSE,,f,29,004,2019-09-21_20h08.41.816,bart,3.1.3,60,,
13,0.295,0.65,FALSE,,f,29,004,2019-09-21_20h08.41.816,bart,3.1.3,60,,
20,0.4,1,FALSE,,f,29,004,2019-09-21_20h08.41.816,bart,3.1.3,60,,
31,0.565,1.55,FALSE,,f,29,004,2019-09-21_20h08.41.816,bart,3.1.3,60,,
44,0.76,2.2,FALSE,,f,29,004,2019-09-21_20h08.41.816,bart,3.1.3,60,,
9,0.22,0,TRUE,,f,29,004,2019-09-21_20h08.41.816,bart,3.1.3,60,,
39,0.67,0,TRUE,,f,29,004,2019-09-21_20h08.41.816,bart,3.1.3,60,,
27,0.49,0,TRUE,,f,29,004,2019-09-21_20h08.41.816,bart,3.1.3,60,,
21,0.415,1.05,FALSE,,f,29,004,2019-09-21_20h08.41.816,bart,3.1.3,60,,
33,0.595,1.65,FALSE,,f,29,004,2019-09-21_20h08.41.816,bart,3.1.3,60,,
9,0.235,0.45,FALSE,,f,29,004,2019-09-21_20h08.41.816,bart,3.1.3,60,,
37,0.655,1.85,FALSE,,f,29,004,2019-09-21_20h08.41.816,bart,3.1.3,60,,
49,0.835,2.45,FALSE,,f,29,004,2019-09-21_20h08.41.816,bart,3.1.3,60,,
21,0.4,0,TRUE,,f,29,004,2019-09-21_20h08.41.816,bart,3.1.3,60,,
39,0.685,1.95,FALSE,,f,29,004,2019-09-21_20h08.41.816,bart,3.1.3,60,,
,,,,,f,29,004,2019-09-21_20h08.41.816,bart,3.1.3,60,space,4.532999992
