nPumps, size, earnings, popped, doneKey.keys, doneKey.rt, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, trials.ran, trials.order, imageFile, maxPumps, participant, gender (m/f), age, session, date, expName, psychopyVersion, frameRate
10, 0.25, 0.5, false, undefined, undefined, 1, 0, 20, 5, 1, 19, blueBalloon.png, 32, 01, m, 21, 004, 2018-11-17_17h38.32.453, bart, 3.0.0b11, 60
17, 0.355, 0.8500000000000001, false, undefined, undefined, 1, 0, 20, 9, 1, 19, blueBalloon.png, 56, 01, m, 21, 004, 2018-11-17_17h38.32.453, bart, 3.0.0b11, 60
15, 0.31, 0, true, undefined, undefined, 1, 0, 20, 2, 1, 19, blueBalloon.png, 14, 01, m, 21, 004, 2018-11-17_17h38.32.453, bart, 3.0.0b11, 60
3, 0.13, 0, true, undefined, undefined, 1, 0, 20, 0, 1, 19, blueBalloon.png, 2, 01, m, 21, 004, 2018-11-17_17h38.32.453, bart, 3.0.0b11, 60
13, 0.29500000000000004, 0.65, false, undefined, undefined, 1, 0, 20, 15, 1, 19, blueBalloon.png, 92, 01, m, 21, 004, 2018-11-17_17h38.32.453, bart, 3.0.0b11, 60
46, 0.7899999999999999, 2.3000000000000003, false, undefined, undefined, 1, 0, 20, 10, 1, 19, blueBalloon.png, 62, 01, m, 21, 004, 2018-11-17_17h38.32.453, bart, 3.0.0b11, 60
45, 0.7599999999999999, 0, true, undefined, undefined, 1, 0, 20, 7, 1, 19, blueBalloon.png, 44, 01, m, 21, 004, 2018-11-17_17h38.32.453, bart, 3.0.0b11, 60
53, 0.8949999999999999, 2.6500000000000004, false, undefined, undefined, 1, 0, 20, 13, 1, 19, blueBalloon.png, 80, 01, m, 21, 004, 2018-11-17_17h38.32.453, bart, 3.0.0b11, 60
63, 1.045, 3.1500000000000004, false, undefined, undefined, 1, 0, 20, 11, 1, 19, blueBalloon.png, 68, 01, m, 21, 004, 2018-11-17_17h38.32.453, bart, 3.0.0b11, 60
71, 1.165, 3.5500000000000003, false, undefined, undefined, 1, 0, 20, 17, 1, 19, blueBalloon.png, 104, 01, m, 21, 004, 2018-11-17_17h38.32.453, bart, 3.0.0b11, 60
9, 0.22, 0, true, undefined, undefined, 1, 0, 20, 1, 1, 19, blueBalloon.png, 8, 01, m, 21, 004, 2018-11-17_17h38.32.453, bart, 3.0.0b11, 60
39, 0.6699999999999999, 0, true, undefined, undefined, 1, 0, 20, 6, 1, 19, blueBalloon.png, 38, 01, m, 21, 004, 2018-11-17_17h38.32.453, bart, 3.0.0b11, 60
27, 0.49, 0, true, undefined, undefined, 1, 0, 20, 4, 1, 19, blueBalloon.png, 26, 01, m, 21, 004, 2018-11-17_17h38.32.453, bart, 3.0.0b11, 60
31, 0.565, 1.55, false, undefined, undefined, 1, 0, 20, 19, 1, 19, blueBalloon.png, 116, 01, m, 21, 004, 2018-11-17_17h38.32.453, bart, 3.0.0b11, 60
48, 0.82, 2.4000000000000004, false, undefined, undefined, 1, 0, 20, 18, 1, 19, blueBalloon.png, 110, 01, m, 21, 004, 2018-11-17_17h38.32.453, bart, 3.0.0b11, 60
32, 0.58, 1.6, false, undefined, undefined, 1, 0, 20, 16, 1, 19, blueBalloon.png, 98, 01, m, 21, 004, 2018-11-17_17h38.32.453, bart, 3.0.0b11, 60
12, 0.28, 0.6000000000000001, false, undefined, undefined, 1, 0, 20, 8, 1, 19, blueBalloon.png, 50, 01, m, 21, 004, 2018-11-17_17h38.32.453, bart, 3.0.0b11, 60
19, 0.385, 0.9500000000000001, false, undefined, undefined, 1, 0, 20, 12, 1, 19, blueBalloon.png, 74, 01, m, 21, 004, 2018-11-17_17h38.32.453, bart, 3.0.0b11, 60
20, 0.4, 1, false, undefined, undefined, 1, 0, 20, 3, 1, 19, blueBalloon.png, 20, 01, m, 21, 004, 2018-11-17_17h38.32.453, bart, 3.0.0b11, 60
53, 0.8949999999999999, 2.6500000000000004, false, undefined, undefined, 1, 0, 20, 14, 1, 19, blueBalloon.png, 86, 01, m, 21, 004, 2018-11-17_17h38.32.453, bart, 3.0.0b11, 60
